Name,Symbol,Date, High , Low , Open , Close ,Volume, Marketcap 
Bitcoin,BTC,2017-01-01,1003.08,958.70 ,963.66,998.33 ,147775008,16050407461.00 
Bitcoin,BTC,2017-01-02,1031.39,996.70 ,998.62,1021.75 ,222184992,16429024775.00 
Bitcoin,BTC,2017-01-03,1044.08,1021.60 ,1021.60,1043.84 ,185168000,16786368910.00 
Bitcoin,BTC,2017-01-04,1159.42,1044.40 ,1044.40,1154.73 ,344945984,18571869009.00 
Bitcoin,BTC,2017-01-05,1191.10,910.42 ,1156.73,1013.38 ,510199008,16300254795.00 
Bitcoin,BTC,2017-01-06,1046.81,883.94 ,1014.24,902.20 ,351876000,14513695758.00 
Bitcoin,BTC,2017-01-07,908.59,823.56 ,903.49,908.59 ,279550016,14618030536.00 
Bitcoin,BTC,2017-01-08,942.72,887.25 ,908.17,911.20 ,158715008,14661966429.00 
Bitcoin,BTC,2017-01-09,913.69,879.81 ,913.24,902.83 ,141876992,14528815565.00 
Bitcoin,BTC,2017-01-10,914.87,901.06 ,902.44,907.68 ,115808000,14608685049.00 
Bitcoin,BTC,2017-01-11,919.45,762.77 ,908.11,777.76 ,310928992,12519135996.00 
Bitcoin,BTC,2017-01-12,826.25,755.76 ,775.18,804.83 ,222326000,12956730411.00 
Bitcoin,BTC,2017-01-13,829.00,780.00 ,803.74,823.98 ,168968000,13266554392.00 
Bitcoin,BTC,2017-01-14,835.09,812.46 ,825.14,818.41 ,93063296,13178601992.00 
Bitcoin,BTC,2017-01-15,823.31,812.87 ,818.14,821.80 ,71013600,13234840657.00 
Bitcoin,BTC,2017-01-16,834.53,820.27 ,821.78,831.53 ,82755200,13393372620.00 
Bitcoin,BTC,2017-01-17,910.56,830.80 ,830.95,907.94 ,155095008,14625779851.00 
Bitcoin,BTC,2017-01-18,917.50,858.30 ,909.37,886.62 ,225676992,14284036613.00 
Bitcoin,BTC,2017-01-19,904.61,884.34 ,888.34,899.07 ,105625000,14486616700.00 
Bitcoin,BTC,2017-01-20,899.40,887.01 ,898.17,895.03 ,86728400,14423545371.00 
Bitcoin,BTC,2017-01-21,927.37,895.53 ,895.55,921.79 ,111158000,14856911163.00 
Bitcoin,BTC,2017-01-22,937.53,897.56 ,922.21,924.67 ,116573000,14905439337.00 
Bitcoin,BTC,2017-01-23,928.27,916.74 ,925.50,921.01 ,73588600,14848013909.00 
Bitcoin,BTC,2017-01-24,924.15,892.29 ,910.68,892.69 ,111349000,14393026385.00 
Bitcoin,BTC,2017-01-25,903.25,891.69 ,891.92,901.54 ,120831000,14537488261.00 
Bitcoin,BTC,2017-01-26,919.33,902.22 ,902.40,917.59 ,131958000,14797955301.00 
Bitcoin,BTC,2017-01-27,923.22,915.85 ,918.36,919.75 ,125594000,14834831700.00 
Bitcoin,BTC,2017-01-28,923.91,919.81 ,919.81,921.59 ,68979600,14866260449.00 
Bitcoin,BTC,2017-01-29,923.42,919.15 ,922.07,919.50 ,60851700,14834377926.00 
Bitcoin,BTC,2017-01-30,923.05,919.47 ,920.15,920.38 ,78227296,14850351605.00 
Bitcoin,BTC,2017-01-31,972.02,920.96 ,920.96,970.40 ,164582000,15659186515.00 
Bitcoin,BTC,2017-02-01,989.11,970.74 ,970.94,989.02 ,150110000,15962015276.00 
Bitcoin,BTC,2017-02-02,1013.52,983.22 ,990.00,1011.80 ,145820992,16331615570.00 
Bitcoin,BTC,2017-02-03,1033.87,1008.79 ,1011.46,1029.91 ,201278000,16625849489.00 
Bitcoin,BTC,2017-02-04,1045.90,1015.16 ,1031.33,1042.90 ,155064000,16837411920.00 
Bitcoin,BTC,2017-02-05,1043.63,1022.37 ,1043.52,1027.34 ,114208000,16588240157.00 
Bitcoin,BTC,2017-02-06,1044.64,1028.16 ,1028.40,1038.15 ,111762000,16764422010.00 
Bitcoin,BTC,2017-02-07,1061.93,1040.14 ,1040.14,1061.35 ,146007008,17141080574.00 
Bitcoin,BTC,2017-02-08,1078.97,1037.49 ,1062.32,1063.07 ,201855008,17170799127.00 
Bitcoin,BTC,2017-02-09,1088.99,953.34 ,1064.70,994.38 ,407220000,16063448932.00 
Bitcoin,BTC,2017-02-10,998.91,946.69 ,995.63,988.67 ,190452000,15973053725.00 
Bitcoin,BTC,2017-02-11,1009.29,982.83 ,988.90,1004.45 ,102261000,16229677099.00 
Bitcoin,BTC,2017-02-12,1004.76,996.92 ,1003.52,999.18 ,67530000,16146290349.00 
Bitcoin,BTC,2017-02-13,1002.10,976.00 ,998.89,990.64 ,100607000,16010322103.00 
Bitcoin,BTC,2017-02-14,1011.51,986.47 ,991.73,1004.55 ,137946000,16237219721.00 
Bitcoin,BTC,2017-02-15,1008.84,1001.58 ,1006.21,1007.48 ,89759400,16286329282.00 
Bitcoin,BTC,2017-02-16,1033.37,1007.65 ,1007.65,1027.44 ,122277000,16610905026.00 
Bitcoin,BTC,2017-02-17,1053.17,1025.64 ,1026.12,1046.21 ,136474000,16916338976.00 
Bitcoin,BTC,2017-02-18,1061.10,1046.96 ,1049.21,1054.42 ,99073504,17051064834.00 
Bitcoin,BTC,2017-02-19,1056.81,1043.46 ,1054.76,1047.87 ,77423296,16946913346.00 
Bitcoin,BTC,2017-02-20,1080.49,1041.69 ,1048.69,1079.98 ,109478000,17468244508.00 
Bitcoin,BTC,2017-02-21,1117.25,1076.93 ,1079.28,1115.30 ,186868992,18041455273.00 
Bitcoin,BTC,2017-02-22,1125.39,1100.55 ,1114.80,1117.44 ,136100000,18077985665.00 
Bitcoin,BTC,2017-02-23,1176.62,1116.96 ,1117.27,1166.72 ,189454000,18877442096.00 
Bitcoin,BTC,2017-02-24,1200.39,1131.96 ,1172.71,1173.68 ,330759008,18992415818.00 
Bitcoin,BTC,2017-02-25,1174.85,1124.59 ,1170.41,1143.84 ,139960992,18511906560.00 
Bitcoin,BTC,2017-02-26,1167.47,1130.20 ,1144.27,1165.20 ,116486000,18860247630.00 
Bitcoin,BTC,2017-02-27,1181.98,1163.38 ,1163.78,1179.97 ,131570000,19101427518.00 
Bitcoin,BTC,2017-02-28,1193.25,1171.82 ,1180.72,1179.97 ,184956000,19103684801.00 
Bitcoin,BTC,2017-03-01,1222.50,1179.69 ,1180.04,1222.50 ,229056992,19794459608.00 
Bitcoin,BTC,2017-03-02,1262.13,1215.62 ,1224.68,1251.01 ,368275008,20258543188.00 
Bitcoin,BTC,2017-03-03,1280.31,1250.71 ,1250.71,1274.99 ,315739008,20649259919.00 
Bitcoin,BTC,2017-03-04,1279.40,1230.51 ,1277.43,1255.15 ,183270000,20329978338.00 
Bitcoin,BTC,2017-03-05,1267.29,1238.06 ,1254.29,1267.12 ,134127000,20526235270.00 
Bitcoin,BTC,2017-03-06,1276.00,1264.60 ,1267.47,1272.83 ,153656992,20620991547.00 
Bitcoin,BTC,2017-03-07,1275.55,1204.80 ,1273.21,1223.54 ,291256000,19824773912.00 
Bitcoin,BTC,2017-03-08,1232.16,1148.08 ,1223.23,1150.00 ,332603008,18635275050.00 
Bitcoin,BTC,2017-03-09,1197.46,1141.23 ,1150.35,1188.49 ,212283008,19261188310.00 
Bitcoin,BTC,2017-03-10,1270.47,1077.25 ,1189.36,1116.72 ,563795968,18100188612.00 
Bitcoin,BTC,2017-03-11,1193.83,1116.32 ,1116.32,1175.83 ,283320000,19060468862.00 
Bitcoin,BTC,2017-03-12,1226.98,1175.36 ,1176.62,1221.38 ,227176000,19801195767.00 
Bitcoin,BTC,2017-03-13,1237.37,1217.03 ,1221.78,1231.92 ,380276992,19974334865.00 
Bitcoin,BTC,2017-03-14,1244.81,1220.72 ,1232.16,1240.00 ,245306000,20107761880.00 
Bitcoin,BTC,2017-03-15,1251.61,1239.75 ,1240.16,1249.61 ,297804992,20265831337.00 
Bitcoin,BTC,2017-03-16,1257.98,1152.44 ,1251.33,1187.81 ,638568000,19265847025.00 
Bitcoin,BTC,2017-03-17,1180.16,1099.57 ,1180.16,1100.23 ,706598976,17847435957.00 
Bitcoin,BTC,2017-03-18,1114.07,957.66 ,1099.69,973.82 ,621302016,15798760668.00 
Bitcoin,BTC,2017-03-19,1069.91,976.73 ,976.73,1036.74 ,406648000,16821676707.00 
Bitcoin,BTC,2017-03-20,1063.03,1036.68 ,1037.24,1054.23 ,286529984,17107266418.00 
Bitcoin,BTC,2017-03-21,1122.43,1055.36 ,1055.36,1120.54 ,337391008,18185299687.00 
Bitcoin,BTC,2017-03-22,1120.65,1014.21 ,1120.65,1049.14 ,380840992,17028630158.00 
Bitcoin,BTC,2017-03-23,1058.01,1028.93 ,1050.05,1038.59 ,248540000,16859314109.00 
Bitcoin,BTC,2017-03-24,1040.47,934.36 ,1038.45,937.52 ,491038016,15220718764.00 
Bitcoin,BTC,2017-03-25,975.76,903.71 ,936.54,972.78 ,435803008,15794781102.00 
Bitcoin,BTC,2017-03-26,1007.96,954.19 ,974.02,966.72 ,303668000,15698465531.00 
Bitcoin,BTC,2017-03-27,1046.40,971.98 ,972.05,1045.77 ,372535008,16983801541.00 
Bitcoin,BTC,2017-03-28,1064.65,1027.73 ,1044.58,1047.15 ,326332000,17008241726.00 
Bitcoin,BTC,2017-03-29,1055.13,1015.88 ,1046.08,1039.97 ,298457984,16893415156.00 
Bitcoin,BTC,2017-03-30,1049.29,1020.04 ,1042.21,1026.43 ,352968992,16675587066.00 
Bitcoin,BTC,2017-03-31,1074.92,1026.64 ,1026.64,1071.79 ,447287008,17414322808.00 
Bitcoin,BTC,2017-04-01,1091.72,1061.09 ,1071.71,1080.50 ,289633984,17557597716.00 
Bitcoin,BTC,2017-04-02,1107.59,1075.45 ,1080.61,1102.17 ,514187008,17911915755.00 
Bitcoin,BTC,2017-04-03,1151.74,1102.95 ,1102.95,1143.81 ,580444032,18591158323.00 
Bitcoin,BTC,2017-04-04,1156.44,1120.52 ,1145.52,1133.25 ,436310016,18421262063.00 
Bitcoin,BTC,2017-04-05,1135.09,1113.63 ,1134.14,1124.78 ,414784000,18285857775.00 
Bitcoin,BTC,2017-04-06,1188.37,1125.81 ,1125.81,1182.68 ,511222016,19229356147.00 
Bitcoin,BTC,2017-04-07,1186.58,1163.39 ,1178.94,1176.90 ,317022016,19137747435.00 
Bitcoin,BTC,2017-04-08,1184.98,1162.58 ,1172.65,1175.95 ,209312000,19124327856.00 
Bitcoin,BTC,2017-04-09,1197.21,1171.86 ,1176.57,1187.87 ,242343008,19320511927.00 
Bitcoin,BTC,2017-04-10,1190.34,1179.04 ,1187.30,1187.13 ,215883008,19310642460.00 
Bitcoin,BTC,2017-04-11,1208.07,1187.46 ,1187.46,1205.01 ,216182000,19604036563.00 
Bitcoin,BTC,2017-04-12,1207.14,1196.76 ,1204.81,1200.37 ,288702016,19530680104.00 
Bitcoin,BTC,2017-04-13,1205.89,1156.44 ,1201.02,1169.28 ,351968992,19026699552.00 
Bitcoin,BTC,2017-04-14,1190.80,1159.79 ,1170.33,1167.54 ,254827008,19000400018.00 
Bitcoin,BTC,2017-04-15,1188.00,1164.96 ,1167.30,1172.52 ,203559008,19083656460.00 
Bitcoin,BTC,2017-04-16,1187.22,1172.61 ,1172.61,1182.94 ,183231008,19255408766.00 
Bitcoin,BTC,2017-04-17,1194.90,1172.65 ,1183.25,1193.91 ,253206000,19436033390.00 
Bitcoin,BTC,2017-04-18,1217.57,1193.77 ,1193.77,1211.67 ,270524000,19727334977.00 
Bitcoin,BTC,2017-04-19,1215.51,1205.08 ,1212.13,1210.29 ,288060992,19707045565.00 
Bitcoin,BTC,2017-04-20,1240.79,1208.41 ,1211.08,1229.08 ,315108000,20015137622.00 
Bitcoin,BTC,2017-04-21,1235.94,1215.56 ,1229.42,1222.05 ,272167008,19903192286.00 
Bitcoin,BTC,2017-04-22,1235.56,1208.47 ,1222.71,1231.71 ,249320000,20062753908.00 
Bitcoin,BTC,2017-04-23,1232.20,1203.94 ,1231.92,1207.21 ,258951008,19665994145.00 
Bitcoin,BTC,2017-04-24,1250.94,1209.63 ,1209.63,1250.15 ,235806000,20367443800.00 
Bitcoin,BTC,2017-04-25,1267.58,1249.97 ,1250.45,1265.49 ,242556000,20619704237.00 
Bitcoin,BTC,2017-04-26,1294.83,1265.93 ,1265.99,1281.08 ,329631008,20876159410.00 
Bitcoin,BTC,2017-04-27,1319.70,1281.30 ,1281.88,1317.73 ,449196992,21475836448.00 
Bitcoin,BTC,2017-04-28,1331.28,1292.37 ,1317.74,1316.48 ,527488992,21457669552.00 
Bitcoin,BTC,2017-04-29,1327.20,1315.21 ,1317.84,1321.79 ,422705984,21547126640.00 
Bitcoin,BTC,2017-04-30,1347.91,1314.92 ,1321.87,1347.89 ,413115008,21975104909.00 
Bitcoin,BTC,2017-05-01,1434.32,1348.30 ,1348.30,1421.60 ,713624000,23179524919.00 
Bitcoin,BTC,2017-05-02,1473.90,1415.69 ,1421.03,1452.82 ,477337984,23691443738.00 
Bitcoin,BTC,2017-05-03,1492.77,1447.49 ,1453.78,1490.09 ,583795968,24301634925.00 
Bitcoin,BTC,2017-05-04,1608.91,1490.72 ,1490.72,1537.67 ,933548992,25080858487.00 
Bitcoin,BTC,2017-05-05,1618.03,1530.31 ,1540.87,1555.45 ,946035968,25373374563.00 
Bitcoin,BTC,2017-05-06,1578.80,1542.50 ,1556.81,1578.80 ,582529984,25757608890.00 
Bitcoin,BTC,2017-05-07,1596.72,1559.76 ,1579.47,1596.71 ,1080029952,26053077975.00 
Bitcoin,BTC,2017-05-08,1723.35,1596.92 ,1596.92,1723.35 ,1340320000,28123369330.00 
Bitcoin,BTC,2017-05-09,1833.49,1716.30 ,1723.89,1755.36 ,1167920000,28649119972.00 
Bitcoin,BTC,2017-05-10,1788.44,1719.10 ,1756.52,1787.13 ,915723008,29170965564.00 
Bitcoin,BTC,2017-05-11,1873.93,1755.35 ,1780.37,1848.57 ,799489984,30176934751.00 
Bitcoin,BTC,2017-05-12,1856.15,1694.01 ,1845.76,1724.24 ,740984000,28150631936.00 
Bitcoin,BTC,2017-05-13,1812.99,1651.08 ,1723.12,1804.91 ,579635008,29471223857.00 
Bitcoin,BTC,2017-05-14,1831.42,1776.62 ,1800.86,1808.91 ,437196000,29540290794.00 
Bitcoin,BTC,2017-05-15,1812.80,1708.54 ,1808.44,1738.43 ,731529024,28392885375.00 
Bitcoin,BTC,2017-05-16,1785.94,1686.54 ,1741.70,1734.45 ,959044992,28330874003.00 
Bitcoin,BTC,2017-05-17,1864.05,1661.91 ,1726.73,1839.09 ,1064729984,30043626195.00 
Bitcoin,BTC,2017-05-18,1904.48,1807.12 ,1818.70,1888.65 ,894321024,30856574835.00 
Bitcoin,BTC,2017-05-19,2004.52,1890.25 ,1897.37,1987.71 ,1157289984,32479082015.00 
Bitcoin,BTC,2017-05-20,2084.73,1974.92 ,1984.24,2084.73 ,961336000,34068630559.00 
Bitcoin,BTC,2017-05-21,2119.08,2037.50 ,2067.03,2041.20 ,1147859968,33361091114.00 
Bitcoin,BTC,2017-05-22,2303.90,2017.87 ,2043.19,2173.40 ,1942220032,35525744380.00 
Bitcoin,BTC,2017-05-23,2320.82,2178.50 ,2191.56,2320.42 ,1378749952,37933704066.00 
Bitcoin,BTC,2017-05-24,2523.72,2321.37 ,2321.37,2443.64 ,1725379968,39952841999.00 
Bitcoin,BTC,2017-05-25,2763.71,2285.30 ,2446.24,2304.98 ,2406700032,37690456715.00 
Bitcoin,BTC,2017-05-26,2573.79,2071.99 ,2320.89,2202.42 ,1763480064,36017660894.00 
Bitcoin,BTC,2017-05-27,2260.20,1855.83 ,2196.27,2038.87 ,1700480000,33347170525.00 
Bitcoin,BTC,2017-05-28,2267.34,2054.08 ,2054.08,2155.80 ,1147139968,35264171110.00 
Bitcoin,BTC,2017-05-29,2307.05,2107.17 ,2159.43,2255.61 ,994625024,36901102917.00 
Bitcoin,BTC,2017-05-30,2301.96,2124.57 ,2255.36,2175.47 ,1443970048,35594903085.00 
Bitcoin,BTC,2017-05-31,2311.08,2145.57 ,2187.19,2286.41 ,1544829952,37414813240.00 
